Unnamed: 0.1,Unnamed: 0,lat,lon,timestamp,datetime,time_delta,distance_Olin,distance_to_chosen
123,909901,47.4436392,-122.303024,2022-03-09 18:13:36.221000+00:00,2022-03-09 18:13:36.221000+00:00,0 days 00:01:00.078000,338.6842479000261,330.84380283769076
124,909902,47.4438737,-122.3027709,2022-03-09 18:14:32.564000+00:00,2022-03-09 18:14:32.564000+00:00,0 days 00:00:56.343000,338.6781683248038,330.83854953994484
125,909903,47.4438737,-122.3027709,2022-03-09 18:17:02.991000+00:00,2022-03-09 18:17:02.991000+00:00,0 days 00:02:30.427000,338.6781683248038,330.83854953994484
126,909904,47.4438737,-122.3027709,2022-03-09 18:20:39.195000+00:00,2022-03-09 18:20:39.195000+00:00,0 days 00:03:36.204000,338.6781683248038,330.83854953994484
127,909905,47.4438737,-122.3027709,2022-03-09 18:24:17.017000+00:00,2022-03-09 18:24:17.017000+00:00,0 days 00:03:37.822000,338.6781683248038,330.83854953994484
128,909906,47.443643,-122.3030353,2022-03-09 18:24:51.252000+00:00,2022-03-09 18:24:51.252000+00:00,0 days 00:00:34.235000,338.6851961500393,330.84475186783186
129,909907,47.443643,-122.3030353,2022-03-09 18:27:53.982000+00:00,2022-03-09 18:27:53.982000+00:00,0 days 00:03:02.730000,338.6851961500393,330.84475186783186
130,909908,47.4436194,-122.3030233,2022-03-09 18:28:13.730000+00:00,2022-03-09 18:28:13.730000+00:00,0 days 00:00:19.748000,338.6832612939067,330.84276453753137
131,909909,47.443648,-122.3030183,2022-03-09 18:29:06.252000+00:00,2022-03-09 18:29:06.252000+00:00,0 days 00:00:52.522000,338.6842778365105,330.84386067043175
132,909910,47.4436378,-122.3029867,2022-03-09 18:29:22+00:00,2022-03-09 18:29:22+00:00,0 days 00:00:15.748000,338.6816463226385,330.8412281011929
133,909911,47.4437716,-122.3028015,2022-03-09 18:29:37+00:00,2022-03-09 18:29:37+00:00,0 days 00:00:15,338.67540502648995,330.8354916501096
134,909912,47.4438546,-122.3028126,2022-03-09 18:29:53+00:00,2022-03-09 18:29:53+00:00,0 days 00:00:16,338.68009641700746,330.84039306154256
135,909913,47.4439059,-122.3029221,2022-03-09 18:30:17+00:00,2022-03-09 18:30:17+00:00,0 days 00:00:24,338.689971908278,330.85031430856674
136,909914,47.4437499,-122.3031689,2022-03-09 18:30:33+00:00,2022-03-09 18:30:33+00:00,0 days 00:00:16,338.6993464746497,330.8590750026108
137,909915,47.4437739,-122.3033931,2022-03-09 18:30:49+00:00,2022-03-09 18:30:49+00:00,0 days 00:00:16,338.71572290521243,330.87533124691765
138,909916,47.4439271,-122.3035718,2022-03-09 18:31:08+00:00,2022-03-09 18:31:08+00:00,0 days 00:00:19,338.73513441650124,330.89500084085233
139,909917,47.4440387,-122.3037457,2022-03-09 18:31:24+00:00,2022-03-09 18:31:24+00:00,0 days 00:00:16,338.7522467952879,330.91226541667174
140,909918,47.4439929,-122.3038379,2022-03-09 18:31:39+00:00,2022-03-09 18:31:39+00:00,0 days 00:00:15,338.75634101124695,330.9161632834839
141,909919,47.4433716,-122.3039126,2022-03-09 18:31:57+00:00,2022-03-09 18:31:57+00:00,0 days 00:00:18,338.7319575036815,330.890078902948
142,909920,47.4436901,-122.3040022,2022-03-09 18:32:13+00:00,2022-03-09 18:32:13+00:00,0 days 00:00:16,338.7531487131843,330.9120373787971
143,909921,47.4437472,-122.3040855,2022-03-09 18:32:29+00:00,2022-03-09 18:32:29+00:00,0 days 00:00:16,338.7615181467861,330.92048934474514
144,909922,47.4437562,-122.3040899,2022-03-09 18:34:58.922000+00:00,2022-03-09 18:34:58.922000+00:00,0 days 00:02:29.922000,338.76224397470725,330.92123532406384
145,909923,47.4437562,-122.3040899,2022-03-09 18:38:22.914000+00:00,2022-03-09 18:38:22.914000+00:00,0 days 00:03:23.992000,338.76224397470725,330.92123532406384
146,909924,47.4437562,-122.3040899,2022-03-09 18:41:46.904000+00:00,2022-03-09 18:41:46.904000+00:00,0 days 00:03:23.990000,338.76224397470725,330.92123532406384
147,909925,47.4436284,-122.3029955,2022-03-09 18:41:47.093000+00:00,2022-03-09 18:41:47.093000+00:00,0 days 00:00:00.189000,338.6817986291041,330.84134838943
148,909926,47.4436498,-122.3030377,2022-03-09 18:57:25.934000+00:00,2022-03-09 18:57:25.934000+00:00,0 days 00:15:38.841000,338.68568176893166,330.84525347218755
149,909927,47.4436498,-122.3030377,2022-03-09 19:03:47.210000+00:00,2022-03-09 19:03:47.210000+00:00,0 days 00:06:21.276000,338.68568176893166,330.84525347218755
150,909928,47.4436498,-122.3030377,2022-03-09 19:04:03.330000+00:00,2022-03-09 19:04:03.330000+00:00,0 days 00:00:16.120000,338.68568176893166,330.84525347218755
